"Year","Age","Height","Weight","Sprint_40yd","Vertical_Jump","Bench_Press_Reps","Broad_Jump","Agility_3cone","Shuttle","BMI","Player_Type","Position_Type","Position","Drafted","Age_imp","Agility_3cone_imp","Shuttle_imp","Bench_Press_Reps_imp","Broad_Jump_imp","Vertical_Jump_imp","Sprint_40yd_imp","Id"
2014,22,1.78,86.2,4.44,90.92,15,309.18,6.91,4.17,27.26188166,"defense","defensive_back","CB",1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1194
2014,22,1.85,129.3,4.68,81.28,35,294.64,7.11,4.39,37.60083134,"defense","defensive_lineman","DT",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1195
2014,23,1.85,99.8,4.5,96.52,18,312.42,7.05,4.51,29.02520314,"defense","defensive_back","SS",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1196
2014,22,1.96,142.9,5.16,71.12,25,274.32,7.92,4.71,37.35316539,"offense","offensive_lineman","OT",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1197
2014,21,1.8,93,4.65,72.39,12,279.4,6.99,4.26,28.59140326,"offense","backs_receivers","WR",1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1198
2014,22,1.85,89.8,4.5,92.71,15,299.72,7.08,4.2,26.12268282,"offense","backs_receivers","WR",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1199
2014,21,1.98,141.1,5.26,73.66,22,261.62,7.42,4.56,35.93928982,"offense","offensive_lineman","OT",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1200
2014,22,1.91,106.1,4.67,95.25,22,304.8,6.89,3.96,29.24769451,"defense","line_backer","OLB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1201
2014,23,1.96,117,4.82,74.93,28,294.64,7.38,4.35,30.59402118,"offense","backs_receivers","TE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1202
2014,22,1.91,123.8,4.84,80.01,24,274.32,7.19,4.29,34.12231027,"defense","defensive_lineman","DE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1203
2014,22,1.78,81.6,4.44,99.06,9,312.81,6.81,4.19,25.82704578,"defense","defensive_back","CB",1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1204
2014,21,1.88,97.1,4.59157360826,76.2,16,287.02,7.17,4.2,27.47569212,"offense","backs_receivers","QB",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1205
2014,23,1.83,96.6,4.59,88.9,17,297.18,7.05,4.13,28.88769685,"defense","defensive_back","CB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1206
2014,21,1.96,115.7,4.66,87.63,15,302.26,6.82,4.19,30.23827674,"defense","line_backer","OLB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1207
